Ano,Pos.,Clubes,Vitorias,Derrotas,Empates,Saldo,Qtd_Jogadores,Idade_Media,Estrangeiros,Valor_total_formatted,Media_Valor_formatted,Gols,GolsSofridos
2014,10,Athletico-PR,14,9,15,-5,41,22,1,12.500.000,305.000,43,48
2014,2,Atletico-MG,21,6,11,18,40,25,3,53.780.000,1.340.000,65,47
2014,17,Avai,11,9,18,-22,42,24,1,9.650.000,230.000,38,60
2014,14,Chapecoense,12,11,15,-10,36,26,0,6.750.000,188.000,34,44
2014,1,Corinthians,24,9,5,40,36,24,4,52.850.000,1.470.000,71,31
2014,15,Coritiba,11,11,16,-11,44,24,1,15.850.000,360.000,31,42
2014,8,Cruzeiro,15,10,13,9,40,24,5,58.650.000,1.470.000,44,35
2014,16,Figueirense,11,10,17,-14,45,23,1,11.400.000,253.000,36,50
2014,12,Flamengo,15,4,19,-8,36,24,8,34.450.000,957.000,45,53
2014,13,Fluminense,14,5,19,-9,50,24,3,52.350.000,1.050.000,40,49
2014,19,Goias,10,8,20,-10,56,23,0,7.250.000,129.000,39,49
2014,3,Gremio,20,8,10,20,40,22,3,31.350.000,784.000,52,32
2014,5,Internacional,17,9,12,1,47,24,5,55.500.000,1.180.000,39,38
2014,20,Joinville,7,10,21,-22,38,24,1,4.600.000,121.000,26,48
2014,9,Palmeiras,15,8,15,9,41,25,5,59.150.000,1.440.000,60,51
2014,11,Ponte Preta,13,12,13,1,42,23,0,7.700.000,183.000,41,40
2014,7,Santos,16,10,12,18,37,23,1,25.030.000,676.000,59,41
2014,4,Sao Paulo,18,8,12,6,42,24,3,88.800.000,2.110.000,53,47
2014,6,Sport,15,14,9,15,46,23,0,20.850.000,453.000,53,38
2014,18,Vasco,10,11,17,-26,40,24,6,17.400.000,435.000,28,54
